ICB Sub location,GP_ODS_CODE,GP_NAME,GP_GPAD_SYSTEMS,GP_SYSTEM
15E,M89001,PARKFIELD MEDICAL CENTRE,TPP,TPP
15E,M89002,KINGSHURST MEDICAL PRACTICE,TPP,TPP
15E,M89003,GPS HEALTHCARE,TPP,TPP
15E,M89005,ST. MARGARETS MEDICAL PRACTICE,TPP,TPP
15E,M89007,RICHMOND MEDICAL CENTRE,TPP,TPP
15E,M89008,BOSWORTH MEDICAL GROUP,TPP,TPP
15E,M89009,MANOR HOUSE LANE SURGERY,TPP,TPP
15E,M89010,DORRIDGE SURGERY,TPP,TPP
15E,M89012,CROFT MEDICAL CENTRE,TPP,TPP
15E,M89013,ARRAN MEDICAL CENTRE,TPP,TPP
15E,M89015,NORTHBROOK HEALTH CENTRE,TPP,TPP
15E,M89016,BALSALL COMMON & MERIDEN GROUP PRACTICE,TPP,TPP
15E,M89017,SOLIHULL HEALTHCARE PARTNERSHIP,EMIS,EMIS
15E,M89019,HOBS MOAT MEDICAL CENTRE,TPP,TPP
15E,M89021,COVENTRY ROAD PRACTICE,TPP,TPP
15E,M89024,GRAFTON ROAD SURGERY,TPP,TPP
15E,M89026,THE CASTLE PRACTICE,TPP,TPP
15E,M89027,GREEN LANE SURGERY,TPP,TPP
15E,M89030,ARDEN MEDICAL CENTRE,TPP,TPP
15E,M89608,HAMPTON SURGERY,EMIS,EMIS
D2P2L,M91003,SINA HEALTH CENTRE,EMIS,EMIS
D2P2L,M91004,ST PETER'S SURGERY,EMIS,EMIS
D2P2L,M91006,PARKSIDE MEDICAL PRACTICE,EMIS,EMIS
D2P2L,M91007,ST JOHN'S MEDICAL CENTRE,EMIS,EMIS
D2P2L,M91008,LITTLE LONDON SURGERY,EMIS,EMIS
D2P2L,M91009,STREETS CORNER SURGERY,EMIS,EMIS
D2P2L,M91010,PORTLAND MEDICAL PRACTICE,EMIS,EMIS
D2P2L,M91013,LOCKFIELD SURGERY,EMIS,EMIS
D2P2L,M91014,BRACE STREET HEALTH CENTRE,EMIS,EMIS
D2P2L,M91015,UMBRELLA MEDICAL,EMIS,EMIS
D2P2L,M91016,NEW INVENTION HEALTH CENTRE,EMIS,EMIS
D2P2L,M91017,NORTHGATE MEDICAL CENTRE,EMIS,EMIS
D2P2L,M91018,SADDLERS HEALTH CENTRE,EMIS,EMIS
D2P2L,M91019,RUSHALL MEDICAL CENTRE,EMIS,EMIS
D2P2L,M91021,LOCKSTOWN PRACTICE,EMIS,EMIS
D2P2L,M91024,CHAPEL STREET SURGERY,EMIS,EMIS
D2P2L,M91026,DARLASTON FAMILY PRACTICE,EMIS,EMIS
D2P2L,M91028,MODALITY KINGFISHER DARLASTON PRACTICE,EMIS,EMIS
D2P2L,M91029,MOSSLEY & DUDLEY FIELDS MEDICAL PRACTICE,EMIS,EMIS
D2P2L,M91032,COLLINGWOOD FAMILY PRACTICE,EMIS,EMIS
D2P2L,M91033,WILLENHALL MEDICAL CENTRE,EMIS,EMIS
D2P2L,M91034,BLOXWICH MEDICAL PRACTICE,EMIS,EMIS
D2P2L,M91036,HARDEN HEALTH CENTRE,EMIS,EMIS
D2P2L,M91602,KHAN MEDICAL PRACTICE,EMIS,EMIS
D2P2L,M91609,NEW ROAD MEDICAL CENTRE,EMIS,EMIS
D2P2L,M91611,BEECHDALE CENTRE,EMIS,EMIS
D2P2L,M91612,ST MARY'S SURGERY,EMIS,EMIS
D2P2L,M91613,FORRESTER STREET MEDICAL CENTRE,EMIS,EMIS
D2P2L,M91614,STROUD PRACTICE,EMIS,EMIS
D2P2L,M91616,PLECK HEALTH CENTRE,EMIS,EMIS
D2P2L,M91619,BROADWAY MEDICAL CENTRE,EMIS,EMIS
D2P2L,M91621,PALFREY HEALTH CENTRE,EMIS,EMIS
D2P2L,M91623,LOWER FARM HEALTH CENTRE,EMIS,EMIS
D2P2L,M91624,MOXLEY MEDICAL CENTRE,EMIS,EMIS
D2P2L,M91626,HOLLAND PARK SURGERY,EMIS,EMIS
D2P2L,M91628,BRACE STREET HC- KUMAR,EMIS,EMIS
D2P2L,M91629,BIRCHILLS HEALTH CENTRE,EMIS,EMIS
D2P2L,M91637,BLACKWOOD HEALTH CENTRE,EMIS,EMIS
D2P2L,M91639,WALSALL WOOD HEALTH CENTRE,EMIS,EMIS
D2P2L,M91640,ROUGH HAY SURGERY,EMIS,EMIS
D2P2L,M91641,DARLASTON MEDICAL CENTRE,EMIS,EMIS
15E,M91642,QUESLETT MEDICAL CENTRE,EMIS,EMIS
D2P2L,M91647,PILLAI,EMIS,EMIS
D2P2L,M91650,PINFOLD MEDICAL,EMIS,EMIS
D2P2L,M91654,HIGH STREET SURGERY,EMIS,EMIS
D2P2L,M91659,BRACE STREET HC- MAHBUB (M91659),EMIS,EMIS
D2P2L,M92001,POPLARS MEDICAL CENTRE,EMIS,EMIS
D2P2L,M92004,PRIMROSE LANE PRACTICE,EMIS,EMIS
D2P2L,M92006,COALWAY ROAD SURGERY,EMIS,EMIS
D2P2L,M92008,CASTLECROFT MEDICAL PRACTICE,EMIS,EMIS
D2P2L,M92009,PRESTBURY MEDICAL PRACTICE,EMIS,EMIS
D2P2L,M92010,TETTENHALL MEDICAL PRACTICE,EMIS,EMIS
D2P2L,M92011,RWT PRACTICES PENN MANOR MEDICAL CENTRE,EMIS,EMIS
D2P2L,M92012,DUNCAN STREET PRIMARY CARE CENTRE,EMIS,EMIS
D2P2L,M92013,DR SINHA & TAHIR,EMIS,EMIS
D2P2L,M92015,IMPROVING HEALTH (IH) MEDICAL,EMIS,EMIS
D2P2L,M92016,TUDOR MEDICAL CENTRE,EMIS,EMIS
D2P2L,M92019,KEATS GROVE SURGERY,EMIS,EMIS
D2P2L,M92022,ASHMORE PARK MEDICAL CENTRE,EMIS,EMIS
D2P2L,M92026,GRIFFITHS DRIVE MEDICAL PRACTICE,EMIS,EMIS
D2P2L,M92028,THORNLEY STREET SURGERY,EMIS,EMIS
D2P2L,M92029,NEWBRIDGE SURGERY,EMIS,EMIS
D2P2L,M92039,DR ST PIERRE-LIBBERTON,EMIS,EMIS
D2P2L,M92040,MAYFIELD MEDICAL PRACTICE,EMIS,EMIS
D2P2L,M92041,PROBERT ROAD SURGERY,EMIS,EMIS
D2P2L,M92043,PENN SURGERY,EMIS,EMIS
D2P2L,M92607,WHITMORE REANS MEDICAL PRACTICE,EMIS,EMIS
D2P2L,M92609,ASHFIELD ROAD SURGERY,EMIS,EMIS
D2P2L,M92612,HEALTH AND BEYOND,EMIS,EMIS
D2P2L,M92627,BILSTON FAMILY PRACTICE,EMIS,EMIS
D2P2L,M92629,FORDHOUSES MEDICAL CENTRE,EMIS,EMIS
D2P2L,M92630,EAST PARK MEDICAL PRACTICE,EMIS,EMIS
D2P2L,M92649,DR MUDIGONDA,EMIS,EMIS
D2P2L,M92654,BAGARY'S MEDICAL PRACTICE,EMIS,EMIS
27D,N81001,AUDLEM MEDICAL PRACTICE,EMIS,EMIS
27D,N81002,KENMORE MEDICAL CENTRE,EMIS,EMIS
27D,N81005,HELSBY HEALTH CENTRE,EMIS,EMIS
27D,N81006,BUNBURY MEDICAL PRACTICE,EMIS,EMIS
02E,N81007,HOLES LANE MEDICAL LTD.,TPP,TPP
27D,N81008,THE CEDARS MEDICAL CENTRE,EMIS,EMIS
27D,N81009,HEATH LANE MEDICAL CENTRE,EMIS,EMIS
27D,N81010,NANTWICH HEALTH CENTRE,EMIS,EMIS
01F,N81011,BEVAN GROUP PRACTICE,EMIS,EMIS
02E,N81012,GUARDIAN STREET MED/CTR,TPP,TPP
27D,N81013,HIGH STREET SURGERY,EMIS,EMIS
02E,N81014,BROOKFIELD SURGERY,TPP,TPP
27D,N81016,MILLCROFT MEDICAL CENTRE,EMIS,EMIS
27D,N81018,TARPORLEY HEALTH CENTRE,EMIS,EMIS
01F,N81019,CASTLEFIELDS HEALTH CENTRE,EMIS,EMIS
02E,N81020,PENKETH HEALTH CENTRE,TPP,TPP
27D,N81022,MIDDLEWOOD PARTNERSHIP,EMIS,EMIS
27D,N81024,SWANLOW MEDICAL CENTRE,EMIS,EMIS
27D,N81025,FIRDALE MEDICAL CENTRE,EMIS,EMIS
27D,N81027,READESMOOR MEDICAL GROUP PRACTICE,EMIS,EMIS
02E,N81028,CAUSEWAY MEDICAL CENTRE,TPP,TPP
27D,N81029,SOUTH PARK SURGERY,EMIS,EMIS
27D,N81030,PRINCEWAY SURGERIES,EMIS,EMIS
27D,N81031,DRS ADEY AND DANCY,EMIS,EMIS
27D,N81032,ASHFIELDS PRIMARY CARE CENTRE,EMIS,EMIS
27D,N81033,ALDERLEY EDGE MEDICAL CENTRE,EMIS,EMIS
27D,N81034,BOUGHTON MEDICAL GROUP,EMIS,EMIS
01F,N81035,FIR PARK MEDICAL CENTRE,EMIS,EMIS
02E,N81036,SPRINGFIELDS MEDICAL CENTRE,TPP,TPP
01F,N81037,THE BEECHES MEDICAL CTR,EMIS,EMIS
27D,N81038,LAUREL BANK SURGERY,EMIS,EMIS
27D,N81039,OAKLANDS,EMIS,EMIS
27D,N81040,HIGH STREET PRACTICE WINSFORD,EMIS,EMIS
02E,N81041,HELSBY STREET MED/CTR,TPP,TPP
27D,N81043,HASLINGTON SURGERY,EMIS,EMIS
27D,N81044,HUNGERFORD MEDICAL CENTRE,EMIS,EMIS
01F,N81045,PEELHOUSE MEDICAL PLAZA,EMIS,EMIS
27D,N81046,PARK MEDICAL CENTRE,EMIS,EMIS
27D,N81047,THE KILTEARN MEDICAL CTR.,EMIS,EMIS
02E,N81048,FEARNHEAD CROSS MED.CTR.,EMIS,EMIS
27D,N81049,KNUTSFORD MEDICAL PARTNERSHIP,EMIS,EMIS
27D,N81050,GREAT SUTTON MEDICAL CENTRE,EMIS,EMIS
27D,N81051,THE WEAVERHAM SURGERY,EMIS,EMIS
27D,N81052,LAWTON HOUSE SURGERY,EMIS,EMIS
27D,N81053,EARNSWOOD MEDICAL CENTRE,EMIS,EMIS
01F,N81054,WEAVER VALE PRACTICE,EMIS,EMIS
27D,N81055,WATLING STREET SURGERY,EMIS,EMIS
02E,N81056,FOLLY LANE MEDICAL CENTRE,TPP,TPP
01F,N81057,TOWER HOUSE PRACTICE,EMIS,EMIS
02E,N81059,CULCHETH MEDICAL CENTRE,TPP,TPP
27D,N81060,NESTON SURGERY,EMIS,EMIS
27D,N81061,WITTON STREET SURGERY,EMIS,EMIS
27D,N81062,CUMBERLAND HOUSE SURGERY,EMIS,EMIS
27D,N81063,YORK ROAD GROUP PRACTICE,EMIS,EMIS
01F,N81064,NEWTOWN SURGERY,EMIS,EMIS
02E,N81065,LATCHFORD MEDICAL CENTRE,TPP,TPP
01F,N81066,GROVE HOUSE PRACTICE,EMIS,EMIS
27D,N81067,OAKWOOD MEDICAL CENTRE,EMIS,EMIS
27D,N81068,GROSVENOR MEDICAL CENTRE,EMIS,EMIS
27D,N81069,CHELFORD SURGERY,EMIS,EMIS
27D,N81070,HANDFORTH HEALTH CENTRE,EMIS,EMIS
27D,N81071,GREENMOSS MEDICAL CENTRE,EMIS,EMIS
01F,N81072,MURDISHAW,EMIS,EMIS
27D,N81074,LAUNCESTON CLOSE SURGERY,EMIS,EMIS
02E,N81075,STOCKTON HEATH MED.CENTRE,EMIS,EMIS
27D,N81077,THE HEALTH CENTRE (HOLMES CHAPEL),EMIS,EMIS
27D,N81079,THE ELMS MEDICAL CENTRE,EMIS,EMIS
27D,N81080,NORTHGATE MEDICAL CENTRE,EMIS,EMIS
27D,N81081,GARDEN LANE MEDICAL CTR.,EMIS,EMIS
27D,N81082,CITY WALLS MEDICAL CENTRE,EMIS,EMIS
02E,N81083,PARKVIEW MEDICAL CENTRE,TPP,TPP
27D,N81084,ROPE GREEN MEDICAL CENTRE,EMIS,EMIS
27D,N81085,PARK LANE SURGERY,EMIS,EMIS
27D,N81086,WILMSLOW HEALTH CENTRE,MEDICUS,MEDICUS
27D,N81087,DANEBRIDGE MEDICAL CENTRE,EMIS,EMIS
27D,N81088,PARK GREEN SURGERY,EMIS,EMIS
02E,N81089,GREENBANK SURGERY,TPP,TPP
27D,N81090,TUDOR SURGERY,EMIS,EMIS
27D,N81092,HOPE FARM MEDICAL CENTRE,EMIS,EMIS
27D,N81093,WHITBY HEALTH PARTNERSHIP,EMIS,EMIS
01F,N81096,BROOKVALE PRACTICE,EMIS,EMIS
02E,N81097,DALLAM LANE MEDICAL CENTRE,TPP,TPP
27D,N81100,UPTON VILLAGE SURGERY,EMIS,EMIS
27D,N81101,THE HANDBRIDGE MED.CTR.,EMIS,EMIS
27D,N81102,FOUNTAINS MEDICAL PRACTICE,EMIS,EMIS
02E,N81107,MANCHESTER ROAD SURGERY,EMIS,EMIS
02E,N81108,THE LAKESIDE SURGERY,TPP,TPP
02E,N81109,PADGATE MEDICAL CENTRE,TPP,TPP
27D,N81111,MEREPARK MEDICAL CENTRE,EMIS,EMIS
27D,N81113,MIDDLEWICH ROAD SURGERY,EMIS,EMIS
02E,N81114,BIRCHWOOD MEDICAL CENTRE,TPP,TPP
27D,N81115,LACHE HEALTH CENTRE,EMIS,EMIS
27D,N81117,OLD HALL SURGERY,EMIS,EMIS
27D,N81118,MEADOWSIDE MEDICAL CENTRE,EMIS,EMIS
01F,N81119,HOUGH GREEN HEALTH PARK,EMIS,EMIS
27D,N81120,KELSALL MEDICAL CENTRE,EMIS,EMIS
27D,N81121,NORTHGATE VILLAGE SURGERY,EMIS,EMIS
02E,N81122,WESTBROOK MEDICAL CENTRE,TPP,TPP
27D,N81123,WILLOW WOOD SURGERY,EMIS,EMIS
27D,N81125,NESTON MEDICAL CENTRE,EMIS,EMIS
27D,N81127,THE WEAVER VALE SURGERY,EMIS,EMIS
27D,N81607,WESTMINSTER SURGERY,EMIS,EMIS
27D,N81614,THE SURGERY,EMIS,EMIS
01F,N81619,OAKS PLACE SURGERY,EMIS,EMIS
02E,N81623,STRETTON MEDICAL CENTRE,EMIS,EMIS
27D,N81624,THE VILLAGE SURGERIES GROUP,EMIS,EMIS
27D,N81626,WESTERN AVE MEDICAL CTRE,EMIS,EMIS
02E,N81628,THE ERIC MOORE PARTNERSHIP,TPP,TPP
27D,N81632,BROKEN CROSS SURGERY,EMIS,EMIS
02E,N81637,COCKHEDGE MEDICAL CENTRE,EMIS,EMIS
27D,N81642,WATERS EDGE MEDICAL CENTRE,EMIS,EMIS
02E,N81645,4 SEASONS MEDICAL CENTRE,TPP,TPP
01F,N81651,UPTON ROCKS PRIMARY CARE,EMIS,EMIS
27D,N81655,ST WERBURGH'S MEDICAL PRACTICE HOMELESS,EMIS,EMIS
99A,N82001,THE MARGARET THOMPSON MED CENTRE,EMIS,EMIS
99A,N82002,YEW TREE CENTRE,EMIS,EMIS
99A,N82003,DOVECOT HEALTH CENTRE,EMIS,EMIS
99A,N82004,GARSTON FAMILY HEALTH CENTRE,EMIS,EMIS
99A,N82009,GRASSENDALE MEDICAL CENTRE,EMIS,EMIS
99A,N82011,PRIORY MEDICAL CENTRE,EMIS,EMIS
99A,N82014,LANCE LANE MEDICAL CENTRE,EMIS,EMIS
99A,N82018,ELLERGREEN MEDICAL CENTRE,EMIS,EMIS
99A,N82019,LANGBANK MEDICAL CENTRE,EMIS,EMIS
99A,N82022,BEACON HEALTH KENSINGTON,EMIS,EMIS
99A,N82024,WEST DERBY MEDICAL CENTRE,EMIS,EMIS
99A,N82026,PENNY LANE SURGERY,EMIS,EMIS
99A,N82033,DINGLE PARK PRACTICE,EMIS,EMIS
99A,N82034,THE VILLAGE SURGERY,EMIS,EMIS
99A,N82035,MATHER AVENUE SURGERY,EMIS,EMIS
99A,N82036,NETHERLEY HEALTH CENTRE,EMIS,EMIS
99A,N82037,WESTMORELAND GP CENTRE,EMIS,EMIS
99A,N82039,STORRSDALE MEDICAL CENTRE,EMIS,EMIS
99A,N82041,OAK VALE MEDICAL CENTRE,EMIS,EMIS
99A,N82046,SEFTON PARK MEDICAL CENTRE,EMIS,EMIS
99A,N82048,WALTON MEDICAL CENTRE,EMIS,EMIS
99A,N82049,WESTMINSTER MEDICAL CENTRE,EMIS,EMIS
99A,N82050,GATEACRE MEDICAL CENTRE,EMIS,EMIS
99A,N82052,TOWNSEND MEDICAL CENTRE,EMIS,EMIS
99A,N82053,AINTREE PARK GROUP PRACTICE,EMIS,EMIS
99A,N82054,ABERCROMBY FAMILY PRACTICE,EMIS,EMIS
99A,N82058,ROCK COURT SURGERY,EMIS,EMIS
99A,N82059,GREENBANK DRIVE SURGERY,EMIS,EMIS
99A,N82062,FULWOOD GREEN MEDICAL CTR,EMIS,EMIS
99A,N82065,EARLE ROAD MEDICAL CENTRE,EMIS,EMIS
99A,N82066,WOOLTON HOUSE MEDICAL CTR,EMIS,EMIS
99A,N82067,BENIM MEDICAL CENTRE,EMIS,EMIS
99A,N82070,THE ELMS MEDICAL CENTRE,EMIS,EMIS
99A,N82073,THE ASH SURGERY,EMIS,EMIS
99A,N82074,OLD SWAN HEALTH CENTRE,EMIS,EMIS
99A,N82076,BROWNLOW HEALTH @ PRINCES PARK,EMIS,EMIS
99A,N82077,BOUSFIELD SURGERY - DR SHAH,EMIS,EMIS
99A,N82078,BOUSFIELD - ROBERTS,EMIS,EMIS
99A,N82079,GREENBANK ROAD SURGERY,EMIS,EMIS
99A,N82081,ISLINGTON HOUSE MEDICAL CENTRE,EMIS,EMIS
99A,N82082,ST. JAMES' HEALTH CENTRE,EMIS,EMIS
99A,N82083,JUBILEE MEDICAL CENTRE,EMIS,EMIS
99A,N82084,GATEACRE BROW SURGERY,EMIS,EMIS
99A,N82086,ABINGDON FAMILY HEALTH CARE CENTRE,EMIS,EMIS
99A,N82087,GILLMOSS MEDICAL CENTRE,EMIS,EMIS
99A,N82089,PICTON GREEN,EMIS,EMIS
99A,N82090,GREEN LANE MEDICAL CENTRE,EMIS,EMIS
99A,N82091,GP PRACTICE RIVERSIDE (DR JUDE),EMIS,EMIS
99A,N82092,THE VALLEY MEDICAL CENTRE,EMIS,EMIS
99A,N82093,DERBY LANE MEDICAL CENTRE,EMIS,EMIS
99A,N82094,BELLE VALE HEALTH CENTRE,EMIS,EMIS
99A,N82095,ALBION SURGERY,EMIS,EMIS
99A,N82097,THE GREY ROAD SURGERY,EMIS,EMIS
99A,N82099,MERE LANE GROUP PRACTICE,EMIS,EMIS
99A,N82101,KIRKDALE MEDICAL CENTRE,EMIS,EMIS
99A,N82103,ANFIELD GROUP PRACTICE,EMIS,EMIS
99A,N82104,STONEYCROFT MEDICAL CENTRE,EMIS,EMIS
99A,N82106,THE VILLAGE MEDICAL CTRE,EMIS,EMIS
99A,N82107,BEACON HEALTH MOSSLEY HILL,EMIS,EMIS
99A,N82108,RUTHERFORD MEDICAL CENTRE,EMIS,EMIS
99A,N82109,SPEKE HC - DR THAKUR,EMIS,EMIS
99A,N82110,LONG LANE,EMIS,EMIS
99A,N82113,FAIRFIELD MEDICAL CENTRE,EMIS,EMIS
99A,N82115,VAUXHALL HEALTH CENTRE,EMIS,EMIS
99A,N82116,HILLFOOT HEALTH,EMIS,EMIS
99A,N82117,BROWNLOW GROUP PRACTICE,EMIS,EMIS
99A,N82617,BROWNLOW AT MARYBONE,EMIS,EMIS
99A,N82633,CALVARY HEALTH CENTRE,EMIS,EMIS
99A,N82641,SANDRINGHAM MEDICAL CENTRE,EMIS,EMIS
99A,N82645,BROWNLOW HEALTH AT KENSINGTON,EMIS,EMIS
99A,N82646,DR JUDE'S PRACTICE - RIVERSIDE,EMIS,EMIS
99A,N82648,POULTER ROAD MEDICAL CENTRE,EMIS,EMIS
99A,N82650,SPEKE HC - DR SINGH & DR BICHA,EMIS,EMIS
99A,N82651,STANLEY MEDICAL CENTRE,EMIS,EMIS
99A,N82655,MOSS WAY,EMIS,EMIS
99A,N82662,DUNSTAN VILLAGE GROUP PRACTICE,EMIS,EMIS
99A,N82663,HORNSPIT MEDICAL CENTRE,EMIS,EMIS
99A,N82664,ROCKY LANE MEDICAL CENTRE,EMIS,EMIS
99A,N82668,WALTON VILLAGE MEDICAL CENTRE,EMIS,EMIS
99A,N82669,GREAT HOMER STREET MEDICAL CENTRE,EMIS,EMIS
99A,N82671,BIGHAM ROAD MEDICAL CENTRE,EMIS,EMIS
99A,N82676,FIR TREE,EMIS,EMIS
99A,N82678,STOPGATE LANE MEDICAL CTR,EMIS,EMIS
01X,N83001,RAINBOW MEDICAL CENTRE,EMIS,EMIS
01X,N83002,PATTERDALE LODGE MED CTRE,EMIS,EMIS
01X,N83003,ORMSKIRK HOUSE SURGERY,EMIS,EMIS
01X,N83005,VISTA ROAD SURGERY,EMIS,EMIS
01X,N83006,PHOENIX MEDICAL CENTRE,EMIS,EMIS
01X,N83007,LINGHOLME HEALTH CENTRE,EMIS,EMIS
01X,N83008,BERRYMEAD FAMILY MED.CTR.,EMIS,EMIS
01J,N83009,WINGATE MEDICAL CENTRE,EMIS,EMIS
01X,N83010,RAINHILL VILLAGE SURGERY,EMIS,EMIS
01X,N83012,MILL STREET MEDICAL CTR.,EMIS,EMIS
01J,N83013,THE HEALTH CENTRE SURGERY,EMIS,EMIS
01J,N83014,DINAS LANE MEDICAL CENTRE,EMIS,EMIS
01X,N83017,HALL STREET MEDICAL CENTRE,EMIS,EMIS
01J,N83018,STOCKBRIDGE VILLAGE HC,EMIS,EMIS
01X,N83019,BILLINGE MEDICAL PRACTICE,EMIS,EMIS
01X,N83020,MODALITY ST HELENS,EMIS,EMIS
01X,N83021,FOUR ACRE HEALTH CENTRE,EMIS,EMIS
01X,N83023,ATLAS MEDICAL PRACTICE,EMIS,EMIS
01J,N83024,PARK HOUSE MEDICAL CENTRE,EMIS,EMIS
01J,N83025,CORNERWAYS MEDICAL CENTRE,EMIS,EMIS
01X,N83026,PARKFIELD SURGERY,EMIS,EMIS
01X,N83027,CENTRAL SURGERY,EMIS,EMIS
01J,N83028,ASTON HEALTHCARE LIMITED,EMIS,EMIS
01J,N83030,DR M SUARES' PRACTICE,EMIS,EMIS
01J,N83031,ROSEHEATH SURGERY,EMIS,EMIS
01J,N83032,MILLBROOK MEDICAL CENTRE,EMIS,EMIS
01J,N83033,ST. LAURENCE'S MEDICAL CENTRE,EMIS,EMIS
01X,N83035,THE SPINNEY MEDICAL CTR.,EMIS,EMIS
01X,N83041,RAINFORD HEALTH CENTRE,EMIS,EMIS
01J,N83043,LONGVIEW MEDICAL CENTRE,EMIS,EMIS
01J,N83047,TARBOCK MEDICAL CENTRE,EMIS,EMIS
01X,N83049,KENNETH MACRAE MED CENTRE,EMIS,EMIS
01X,N83050,THE BOWERY MEDICAL CENTRE,EMIS,EMIS
01X,N83053,LONGTON MEDICAL CENTRE,EMIS,EMIS
01X,N83054,BETHANY MEDICAL CENTRE,EMIS,EMIS
01J,N83601,THE MACMILLAN SURGERY,EMIS,EMIS
01J,N83603,PRESCOT MEDICAL CENTRE,EMIS,EMIS
01J,N83605,HOLLIES MEDICAL CENTRE,EMIS,EMIS
01J,N83608,DR MAASSARANI & PARTNERS,EMIS,EMIS
01J,N83609,CEDAR CROSS MEDICAL CENTRE,EMIS,EMIS
01J,N83610,COLBY MEDICAL CENTRE,EMIS,EMIS
01X,N83614,ECCLESTON MEDICAL CENTRE,EMIS,EMIS
01J,N83619,ROBY MEDICAL CENTRE,EMIS,EMIS
01X,N83620,WINDERMERE MEDICAL CENTRE,EMIS,EMIS
01J,N83621,HILLSIDE HOUSE SURGERY,EMIS,EMIS
01J,N83622,PRIMROSE MEDICAL PRACTICE,EMIS,EMIS
01J,N83633,NUTGROVE VILLA SURGERY,EMIS,EMIS
01X,N83637,NEWHOLME SURGERY,EMIS,EMIS
01T,N84001,42 KINGSWAY,EMIS,EMIS
01T,N84002,AINTREE ROAD MEDICAL CENTRE,EMIS,EMIS
01T,N84003,HIGH PASTURES SURGERY,EMIS,EMIS
01T,N84004,GLOVERS LANE SURGERY,EMIS,EMIS
01V,N84005,CUMBERLAND HOUSE SURGERY,EMIS,EMIS
01V,N84006,CHAPEL LANE SURGERY,EMIS,EMIS
01T,N84007,LIVERPOOL RD MEDICAL PRACTICE,EMIS,EMIS
01V,N84008,NORWOOD SURGERY,EMIS,EMIS
01T,N84010,MAGHULL FAMILY SURGERY,EMIS,EMIS
01T,N84011,EASTVIEW SURGERY,EMIS,EMIS
01V,N84012,AINSDALE MEDICAL CENTRE,EMIS,EMIS
01V,N84013,CHRISTIANA HARTLEY MEDICAL PRACTICE,EMIS,EMIS
01V,N84014,AINSDALE VILLAGE SURGERY,EMIS,EMIS
01T,N84015,BOOTLE VILLAGE SURGERY,EMIS,EMIS
01T,N84016,MOORE STREET MEDICAL CENTRE,EMIS,EMIS
01V,N84017,CHURCHTOWN MEDICAL CENTRE,EMIS,EMIS
01V,N84018,THE VILLAGE SURGERY FORMBY,EMIS,EMIS
01T,N84019,NORTH PARK HEALTH CENTRE,EMIS,EMIS
01T,N84020,BLUNDELLSANDS SURGERY,EMIS,EMIS
01V,N84021,ST MARKS MEDICAL CENTRE (TCG MEDICAL),EMIS,EMIS
01T,N84023,BRIDGE ROAD MEDICAL CENTRE,EMIS,EMIS
01V,N84024,GRANGE SURGERY,EMIS,EMIS
01T,N84025,WESTWAY MEDICAL CENTRE,EMIS,EMIS
01T,N84027,ORRELL PARK MEDICAL CENTRE,EMIS,EMIS
01T,N84028,THE STRAND MEDICAL CENTRE,EMIS,EMIS
01T,N84029,FORD MEDICAL PRACTICE,EMIS,EMIS
01T,N84034,PARK STREET SURGERY,EMIS,EMIS
01T,N84035,15 SEFTON ROAD,EMIS,EMIS
01T,N84038,CONCEPT HOUSE SURGERY,EMIS,EMIS
01T,N84041,KINGSWAY SURGERY,EMIS,EMIS
01T,N84605,LITHERLAND PRACTICE,EMIS,EMIS
01V,N84613,THE CORNER SURGERY (DR MULLA),EMIS,EMIS
01V,N84614,THE MARSHSIDE SURGERY,EMIS,EMIS
01T,N84615,RAWSON ROAD MEDICAL CENTRE,EMIS,EMIS
01V,N84617,KEW SURGERY,EMIS,EMIS
01T,N84621,GREAT CROSBY AND THORNTON,EMIS,EMIS
01V,N84625,THE FAMILY SURGERY,EMIS,EMIS
01T,N84626,HIGHTOWN VILLAGE SURGERY,EMIS,EMIS
12F,N85002,MARINE LAKE MEDICAL PRACTICE,EMIS,EMIS
12F,N85005,EASTHAM GROUP PRACTICE,EMIS,EMIS
12F,N85006,CIVIC MEDICAL CENTRE,EMIS,EMIS
12F,N85007,MYRTLE GROUP PRACTICE,EMIS,EMIS
12F,N85008,WEST WIRRAL GROUP PRACTICE,EMIS,EMIS
12F,N85012,ST GEORGES MEDICAL CENTRE,EMIS,EMIS
12F,N85013,UPTON GROUP PRACTICE,EMIS,EMIS
12F,N85015,DEVANEY MED CTR,EMIS,EMIS
12F,N85016,RIVERSIDE SURGERY,EMIS,EMIS
12F,N85017,CAVENDISH MEDICAL CENTRE,EMIS,EMIS
12F,N85018,THE VILLA MEDICAL CENTRE,EMIS,EMIS
12F,N85019,WHETSTONE LANE MED CTR,EMIS,EMIS
12F,N85020,ST CATHERINE'S SURGERY,EMIS,EMIS
12F,N85021,HAMILTON MED CTR,EMIS,EMIS
12F,N85022,HOLMLANDS MED CTR,EMIS,EMIS
12F,N85023,MANOR HEALTH CTR,EMIS,EMIS
12F,N85024,SOMERVILLE MED CTR,EMIS,EMIS
12F,N85025,ST HILARY GROUP PRACTICE,EMIS,EMIS
12F,N85027,CENTRAL PARK MEDICAL CENTRE,EMIS,EMIS
12F,N85028,MORETON GROUP PRACTICE,EMIS,EMIS
12F,N85031,GLADSTONE MED CTR,EMIS,EMIS
12F,N85032,GREASBY GROUP PRACTICE,EMIS,EMIS
12F,N85037,HEATHERLANDS MED CTR,EMIS,EMIS
